n	Session	magnetometer.seconds.Unix	magnetometer.magx	magnetometer.magy	magnetometer.magz
1	4604	1411812140	\xffcbffcfffd0ffceffcfffcfffd1ffd1ffd1ffd1ffd1ffd2ffd4ffd4ffd2ffd1ffd1ffd2	\xfec5fecafeccfec9fec8fec5fec4fec7fec9fec8fec9fecafeccfecbfecbfecbfec8fec6	\xfe78fe78fe74fe76fe79fe79fe7dfe79fe7afe7bfe7cfe7dfe7afe79fe77fe76fe75fe74
2	4604	1411812141	\xffd2ffd2ffd1ffd1ffd1ffd3ffd4ffd3ffd4ffd4ffd4ffd3ffd3ffd4ffd3ffd4ffd6ffd6ffd7ffd7ffd8ffd7ffd7ffd5ffd4ffd3ffd2ffd2ffd1ffd1ffcfffcfffcfffcfffcfffd1ffd1ffd1ffd5ffd5ffd5ffd5ffd5ffd4ffd4ffd5ffd4ffd6ffd5ffd2	\xfec6fec4fec3fec4fec3fec4fec6fec5fec6fec7fec6fec6fec8fec9fec9fecbfecafecbfecafeccfecbfecbfecafecbfecafec9fec9fec8fec9fec9fec9fec7fec8fec7fec7fec7fec5fec5fec5fec3fec4fec3fec4fec4fec4fec3fec3fec6fec5fec6	\xfe74fe74fe75fe75fe76fe75fe76fe76fe75fe73fe72fe71fe70fe73fe73fe74fe75fe78fe79fe7afe7cfe7cfe7bfe7cfe7dfe7dfe7bfe7bfe7cfe7afe7afe79fe77fe75fe76fe75fe73fe72fe73fe73fe72fe74fe75fe75fe75fe77fe75fe75fe78fe76
3	4604	1411812142	\xffd3ffd4ffd5ffd4ffd3ffd2ffd3ffd6ffd7ffd7ffd6ffd6ffd7ffd6ffd6ffd6ffd5ffd3ffd5ffd5ffd5ffd5ffd5ffd5ffd5ffd6ffd5ffd6ffd5ffd5ffd3ffd3ffd3ffd2ffd0ffceffcfffd0ffd0ffcfffceffd0ffd1ffd1ffd1ffd1ffd1ffd1ffd2ffd2	\xfec7fec8fec9fec9fec9fecafec9fec9fec9fec8fec9fec9fec9fec9fecafecafec9fecafec8fec8fec6fec5fec4fec2fec3fec2fec2fec2fec3fec5fec4fec6fec7fec7fec8fec9fec8fec8fec9fec9fec7fec6fec8fec8fec9fecafecbfeccfecefece	\xfe75fe76fe77fe77fe78fe79fe78fe78fe79fe78fe78fe77fe77fe76fe76fe77fe75fe75fe75fe75fe74fe75fe73fe73fe74fe74fe74fe75fe75fe74fe75fe76fe76fe75fe75fe76fe77fe77fe77fe78fe79fe7bfe7bfe7bfe7cfe7bfe7bfe79fe78fe79
4	4604	1411812143	\xffd3ffd4ffd2ffd2ffd4ffd4ffd5ffd5ffd3ffd1ffd2ffd1ffcfffceffcdffcdffceffd0ffd1ffd3ffd6ffd7ffd6ffd6ffd6ffd6ffd5ffd4ffd3ffd2ffd1ffd1ffd1ffd0ffcfffcdffccffceffcfffceffccffceffcfffd2ffd2ffd0ffd1ffd3ffd4	\xfecdfeccfecafec7fec5fec5fec3fec4fec2fec3fec1fec4fec5fec5fec4fec4fec4fec4fec7fec6fec5fec6fec7fec7fec8fec9fec7fec7fec9fec8fec8fec8fec8fec9fecafecafec9fec8fec7fec6fec4fec3fec2fec3fec4fec2fec3fec4fec5	\xfe79fe78fe77fe77fe77fe76fe76fe75fe75fe75fe75fe75fe75fe76fe77fe76fe76fe77fe77fe78fe7afe7cfe7cfe7cfe7bfe7afe7afe7afe7afe77fe76fe77fe79fe7bfe7cfe7efe7cfe7cfe7dfe7dfe7cfe7dfe79fe77fe76fe76fe75fe75fe74
5	4604	1411812144	\xffd5ffd5ffd5ffd6ffd5ffd5ffd7ffd5ffd3ffd3ffd2ffd2ffd2ffd3ffd1ffd2ffd4ffd3ffd4ffd5ffd6ffd6ffd7ffd9ffd8ffdaffd8ffd7ffd6ffd6ffd6ffd5ffd7ffd7ffd8ffd7ffd8ffd8ffd6ffd5ffd4ffd4ffd4ffd4ffd4ffd3ffd3ffd3ffd2ffd2	\xfec5fec6fec4fec2fec3fec2fec1fec0fec3fec2fec5fec7fec8fecafeccfecffecefed0fed1fed0fecffecdfecbfec8fec7fec5fec2fec3fec3fec3fec4fec5fec6fec6fec6fec5fec5fec6fec6fec6fec6fec7fec7fec8fec8fec9fec8fec8fec9fec9	\xfe72fe72fe72fe75fe76fe75fe74fe75fe76fe77fe77fe75fe75fe78fe7afe78fe78fe78fe79fe7afe79fe79fe79fe7afe78fe78fe76fe75fe74fe74fe73fe74fe75fe74fe75fe75fe74fe75fe74fe74fe75fe76fe76fe75fe77fe78fe79fe78fe78fe78
6	4604	1411812145	\xffd2ffd2ffd2ffd3ffd4ffd3ffd2ffd3ffd2ffd1ffd2ffd2ffd2ffd5ffd4ffd4ffd5ffd6ffd4ffd3ffd4ffd4ffd6ffd6ffd5ffd4ffd5ffd6ffd6ffd5ffd5ffd5ffd6ffd5ffd5ffd6ffd5ffd4ffd2ffd2ffd3ffd4ffd3ffd1ffd4ffd6ffd7ffd6ffd6ffd5	\xfecafecafecafecafecbfeccfecbfecbfecbfecafecafec9fec9fec7fec5fec5fec4fec4fec3fec2fec4fec4fec6fec5fec3fec4fec3fec3fec2fec3fec5fec5fec7fec8fecafecbfecdfeccfecafecafeccfecbfecbfecafecbfecafecafec9fec9fec7	\xfe78fe79fe79fe78fe77fe78fe79fe7afe79fe79fe78fe77fe76fe75fe71fe6ffe6efe6efe6efe6efe6ffe71fe72fe73fe73fe73fe72fe74fe74fe73fe75fe76fe77fe78fe7afe79fe79fe7afe7cfe7cfe7dfe7dfe7dfe7dfe7cfe7bfe78fe77fe76fe75
7	4604	1411812146	\xffd5ffd6ffd4ffd4ffd3ffd5ffd4ffd5ffd5ffd5ffd5ffd6ffd5ffd6ffd8ffd8ffd9ffd9ffd8ffd8ffd8ffd7ffd4ffd4ffd4ffd4ffd4ffd3ffd5ffd5ffd5ffd5ffd5ffd5ffd6ffd6ffd5ffd6ffd5ffd4ffd4ffd2ffd1ffd1ffd2ffd1ffd1ffd3ffd3	\xfec6fec4fec4fec4fec4fec4fec3fec4fec5fec4fec3fec2fec2fec3fec4fec5fec6fec8fec9fec9fecafecafec9fec9fec9fecbfeccfeccfecbfecbfecafecafec9fec9fec8fec6fec6fec7fec8fec8fec8fec6fec5fec7fec6fec6fec5fec5fec6	\xfe74fe75fe75fe77fe76fe75fe77fe79fe78fe79fe79fe76fe77fe78fe77fe76fe75fe75fe75fe76fe78fe78fe7afe79fe79fe7bfe7cfe7afe7cfe7bfe78fe77fe76fe75fe72fe73fe70fe71fe71fe72fe74fe74fe75fe74fe74fe75fe75fe75fe74
8	4604	1411812147	\xffd5ffd6ffd7ffd5ffd6ffd8ffd7ffd7ffd7ffd5ffd5ffd6ffd5ffd3ffd2ffd1ffd0ffd2ffd2ffd1ffd1ffd2ffd3ffd2ffd4ffd3ffd3ffd4ffd3ffd1ffcfffceffccffccffc9ffc9ffcaffcbffcbffcdffceffcfffd1ffd1ffd0ffd0ffd0ffcfffd1ffd0	\xfec6fec8fec8fec9fec9fec9fec9fec9fec9fec8fec8fec8fec7fec7fec9fec7fec9fec8fec6fec8fec7fec6fec4fec6fec4fec5fec6fec5fec5fec5fec7fec5fec8fec9fecafecafecafeccfeccfecefecdfecdfeccfecdfeccfecbfeccfeccfecbfecc	\xfe72fe74fe76fe75fe75fe75fe75fe77fe79fe76fe76fe78fe78fe79fe7bfe7afe7afe7cfe7bfe7afe7afe79fe79fe79fe77fe77fe76fe78fe79fe79fe77fe79fe7bfe7dfe7dfe7cfe7bfe7afe7bfe7bfe7bfe7afe7bfe7afe7bfe7cfe7cfe7cfe7cfe7c
9	4604	1411812148	\xffd0ffd1ffd1ffd0ffd2ffd3ffd1ffd1ffceffceffceffd0ffcfffceffcfffd0ffd2ffd1ffd1ffd0ffd2ffd2ffd1ffd2ffd2ffd3ffd4ffd5ffd4ffd4ffd6ffd7ffd6ffd6ffd5ffd3ffd4ffd5ffd5ffd4ffd4ffd4ffd6ffd4ffd5ffd4ffd4ffd5ffd5ffd5	\xfeccfec9fecbfec9fec7fec5fec5fec5fec3fec4fec4fec6fec6fec8fec7fec7fec7fec7fec7fec7fec8fec9fec8fec7fec9fec9fec8fec7fec7fec7fec9fecafecafecafeccfecdfecdfeccfecbfecafec9fec9fec8fec9fec9fec9fec8fec9fec8fec7	\xfe7bfe7bfe7dfe7cfe7afe79fe79fe79fe79fe79fe77fe76fe77fe76fe76fe75fe76fe76fe76fe77fe76fe74fe73fe73fe73fe74fe74fe73fe74fe76fe78fe78fe78fe77fe76fe78fe76fe76fe77fe75fe76fe75fe77fe76fe77fe77fe74fe76fe77fe77
10	4604	1411812149	\xffd4ffd5ffd3ffd3ffd3ffd2ffd3ffd1ffd1ffd2ffd5ffd5ffd6ffd5ffd6ffd9ffdbffdaffd9ffd7ffd7ffd6ffd5ffd2ffd1ffd1ffd1ffd0ffd0ffd1ffd1ffd1ffd3ffd4ffd3ffd4ffd5ffd5ffd4ffd5ffd3ffd5ffd5ffd6ffd5ffd5ffd4ffd4ffd5	\xfec7fec5fec4fec4fec4fec2fec4fec5fec4fec6fec7fec6fec9fec9fec9feccfeccfecdfeccfeccfecafecafec9fec8fec5fec4fec4fec3fec3fec3fec2fec1fec2fec2fec1fec2fec1fec1fec1fec1fec1fec0fec1fec1fec1fec1fec3fec5fec6	\xfe75fe75fe75fe75fe77fe76fe75fe75fe75fe75fe75fe76fe76fe76fe75fe76fe78fe77fe76fe75fe75fe76fe78fe77fe76fe75fe74fe75fe74fe71fe6ffe6ffe6efe71fe70fe6efe6dfe6ffe6efe70fe71fe71fe73fe73fe75fe74fe76fe75fe75
