n	Session	wfm.seconds.Elapsed	wfm.mac_addr.Mac	wfm.mac_addr.Essid	wfm.mac_addr.Frequency	wfm.mac_addr.Auth	wfm.mac_addr.Extra	wfm.snr
1	4604	1411812147	001daac3ad18	SERVICO_CLIENTE	2437	Open		-94
2	4604	1411812147	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-90
3	4604	1411812148	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-91
4	4604	1411812148	001daac3ad18	SERVICO_CLIENTE	2437	Open		-94
5	4604	1411812148	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-87
6	4604	1411812149	001daac3ad18	SERVICO_CLIENTE	2437	Open		-91
7	4604	1411812149	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-87
8	4604	1411812149	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-91
9	4604	1411812151	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-87
10	4604	1411812151	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-91
11	4604	1411812151	001daac3ad18	SERVICO_CLIENTE	2437	Open		-91
12	4604	1411812152	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-85
13	4604	1411812152	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-89
14	4604	1411812152	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-91
15	4604	1411812152	001daac3ad18	SERVICO_CLIENTE	2437	Open		-91
16	4604	1411812154	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-85
17	4604	1411812154	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-89
18	4604	1411812154	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-91
19	4604	1411812154	001daac3ad18	SERVICO_CLIENTE	2437	Open		-91
20	4604	1411812155	001daac3ad18	SERVICO_CLIENTE	2437	Open		-91
21	4604	1411812155	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-85
22	4604	1411812155	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-89
23	4604	1411812157	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-85
24	4604	1411812157	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
25	4604	1411812157	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-88
26	4604	1411812157	08cc6866445f	eduroam	10360	WPA-Enterprise		-96
27	4604	1411812158	08cc6866445f	eduroam	10360	WPA-Enterprise		-96
28	4604	1411812158	08cc68664451	UPorto	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-88
29	4604	1411812158	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-93
30	4604	1411812158	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-86
31	4604	1411812158	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
32	4604	1411812158	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-87
33	4604	1411812160	08cc68664451	UPorto	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-88
34	4604	1411812160	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
35	4604	1411812160	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-86
36	4604	1411812160	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-87
37	4604	1411812160	08cc6866445f	eduroam	10360	WPA-Enterprise		-96
38	4604	1411812160	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-93
39	4604	1411812161	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
40	4604	1411812161	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-86
41	4604	1411812161	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-87
42	4604	1411812161	08cc6866445f	eduroam	10360	WPA-Enterprise		-96
43	4604	1411812161	08cc68664451	UPorto	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-88
44	4604	1411812161	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-93
45	4604	1411812163	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
46	4604	1411812163	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-87
47	4604	1411812163	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-87
48	4604	1411812163	08cc6866445f	eduroam	10360	WPA-Enterprise		-96
49	4604	1411812163	08cc68664451	UPorto	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-88
50	4604	1411812163	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-93
51	4604	1411812164	001daac3ad18	SERVICO_CLIENTE	2437	Open		-92
52	4604	1411812164	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-86
53	4604	1411812164	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-87
54	4604	1411812164	08cc6866445f	eduroam	10360	WPA-Enterprise		-96
55	4604	1411812164	08cc68664451	UPorto	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-88
56	4604	1411812164	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-93
57	4604	1411812165	001daac3ad18	SERVICO_CLIENTE	2437	Open		-92
