systime	gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1411812092.35699	1411812119.00	41.178088	-8.598373	143.6	0.067	169.4500	1.5	1.8	2.3
1411812094.34635	1411812121.00	41.178088	-8.598372	143.5	0.062	165.6400	1.5	1.8	2.3
1411812095.37869	1411812122.00	41.178088	-8.598372	143.5	0.062	166.6800	1.5	1.8	2.3
1411812096.32714	1411812123.00	41.178088	-8.598370	143.4	0.067	165.2700	1.5	1.8	2.3
1411812097.33986	1411812124.00	41.178088	-8.598370	143.4	0.062	165.0100	1.5	1.8	2.3
1411812099.29235	1411812125.00	41.178088	-8.598368	143.3	0.062	161.6200	1.5	1.8	2.3
1411812100.38325	1411812127.00	41.178088	-8.598367	143.0	0.067	166.9200	1.1	1.5	1.8
1411812101.34308	1411812128.00	41.178090	-8.598363	142.4	0.067	169.6400	1.1	1.5	1.8
1411812102.32784	1411812129.00	41.178093	-8.598360	141.7	0.057	127.5100	1.1	1.5	1.8
1411812104.33326	1411812130.00	41.178095	-8.598357	140.7	0.067	116.8600	1.1	1.5	1.8
1411812105.30935	1411812132.00	41.178095	-8.598353	140.5	0.062	118.7200	1.1	1.5	1.8
1411812106.36761	1411812133.00	41.178095	-8.598353	140.5	0.062	137.9100	1.1	1.5	1.8
1411812107.36982	1411812134.00	41.178095	-8.598353	140.8	0.057	140.8700	1.1	1.5	1.8
1411812109.30519	1411812135.00	41.178093	-8.598355	141.6	0.057	144.0300	1.1	1.5	1.8
1411812110.33007	1411812137.00	41.178088	-8.598360	142.5	0.062	160.2400	1.1	1.5	1.8
1411812111.32866	1411812138.00	41.178087	-8.598363	143.4	0.067	165.3100	1.1	1.5	1.8
1411812112.34763	1411812139.00	41.178085	-8.598365	144.0	0.062	165.7100	1.1	1.5	1.8
1411812114.30325	1411812140.00	41.178083	-8.598367	144.2	0.067	168.0200	1.1	1.5	1.8
1411812115.36465	1411812142.00	41.178083	-8.598363	144.0	0.067	161.4900	1.1	1.5	1.8
1411812116.32109	1411812143.00	41.178085	-8.598363	143.8	0.067	164.1200	1.1	1.5	1.8
1411812117.32980	1411812144.00	41.178083	-8.598362	143.8	0.077	177.0700	1.1	1.5	1.8
1411812119.31707	1411812145.00	41.178085	-8.598360	143.3	0.062	166.1300	1.1	1.5	1.8
1411812120.37291	1411812147.00	41.178088	-8.598355	142.5	0.057	120.3900	1.1	1.5	1.8
1411812121.34442	1411812148.00	41.178090	-8.598352	141.9	0.067	118.5600	1.1	1.5	1.8
1411812122.33156	1411812149.00	41.178092	-8.598350	141.3	0.062	122.5100	1.1	1.5	1.8
1411812124.32317	1411812151.00	41.178092	-8.598348	141.0	0.072	177.8500	1.1	1.5	1.8
1411812125.35862	1411812152.00	41.178092	-8.598347	140.8	0.057	151.1100	1.1	1.5	1.8
1411812126.32340	1411812153.00	41.178092	-8.598345	140.7	0.077	176.9700	1.1	1.5	1.8
1411812127.33042	1411812154.00	41.178093	-8.598345	140.6	0.082	183.7700	1.1	1.5	1.8
1411812129.36223	1411812156.00	41.178092	-8.598343	140.6	0.082	181.2100	1.1	1.5	1.8
