n	Session	magnetometer.seconds.Unix	magnetometer.magx	magnetometer.magy	magnetometer.magz
1	4607	1411812115	\x002f0032003700340033002f	\xff3eff3cff38ff38ff35ff32	\x001c0015000e001500150017
2	4607	1411812116	\x002e00300030002f002f002e002f002f002f002e002f00300030003100320031003100330031003100320032003200340034003400340033003200300030002f0030002e003000320032003300330033003100320031002f002f00300031002f0031	\xff2fff35ff34ff33ff33ff33ff33ff34ff35ff33ff34ff34ff35ff35ff36ff37ff38ff39ff38ff39ff38ff38ff37ff35ff34ff35ff34ff34ff32ff33ff32ff34ff34ff34ff35ff35ff36ff35ff36ff38ff39ff37ff35ff35ff36ff37ff37ff35ff33	\x0019001600140014001500140012001200120012001400140014001400130012001200130013001400150016001600170016001700160016001600140014001300140013001300110012001200120011001100100011001100110010001000120012
3	4607	1411812117	\x00320032003200320031002f00310031003100310032003300320035003300340032003300340033003300320033003200340034003400340036003400330033003200330032003100300033003100310030003100310030003100310032003300330033	\xff34ff35ff34ff35ff35ff37ff37ff38ff39ff39ff3aff3aff3aff38ff38ff39ff39ff3aff39ff38ff38ff37ff37ff37ff36ff37ff37ff36ff36ff35ff35ff33ff33ff33ff33ff33ff33ff34ff34ff36ff37ff36ff36ff37ff38ff37ff38ff37ff37ff37	\x00130013001300140015001500150015001300110011000f000f000d000b000b000d000e000f000f001100140015001500140015001500140013001100120011001100100010001000100011001000110012001400130013001300140014001400140013
4	4607	1411812118	\x0034003500350034003400330031002f002e002d002c002d002e002f002e0030003100320033003200320032003300310032003400350037003600370038003700370034003500320031002f002f00300030003200320031003100330033003300310030	\xff35ff35ff34ff34ff34ff34ff33ff33ff34ff35ff33ff34ff34ff33ff33ff33ff33ff34ff35ff33ff33ff32ff33ff34ff34ff33ff33ff35ff34ff35ff33ff32ff32ff33ff33ff32ff33ff33ff35ff35ff35ff33ff33ff32ff31ff30ff2fff2fff31ff32	\x00140014001500140014001500150015001600140013001200130012001300130012001400150016001600170016001600170017001700170015001400130014001300130013001400140015001600150014001400140014001200110011001300140014
5	4607	1411812119	\x00300032003200320032003100330032003200310033003200310031002f0030002f002d002d002e002f00310032003100330035003400340032002f0031003200320033003300330031003300320031003200300030002f002f002f002f002e002d	\xff33ff34ff35ff36ff35ff35ff34ff35ff35ff34ff34ff33ff35ff33ff32ff32ff33ff32ff31ff32ff30ff33ff35ff35ff35ff37ff37ff37ff37ff37ff36ff34ff33ff33ff33ff32ff34ff34ff33ff35ff35ff36ff37ff39ff38ff39ff3aff3aff3b	\x00130012001300130012000e000e000d000f000f001000100012001500160015001400130015001600140013001300150015001500140013001400130013001000100012001200130013001400150017001700170017001700160017001600170015
6	4607	1411812120	\x002c002d002e002f002f002f002f003000310030003300330034003400340034003400340032003200320033003300340034003300340034003400330034003300320032003000310030002f002f002f0031003200330030003300330031003100300031	\xff3bff3aff39ff38ff39ff38ff39ff38ff36ff36ff35ff36ff35ff36ff36ff37ff39ff38ff3aff3aff3aff38ff38ff37ff37ff38ff39ff38ff37ff36ff36ff35ff34ff33ff32ff33ff34ff35ff34ff34ff33ff34ff35ff34ff35ff35ff35ff34ff34ff34	\x001400140014001200120013001200120012001100120013001200120012001300110012000f000f001100100010001000120012001500160015001700170018001800180018001700170016001600160015001500160014001400130012001300150015
7	4607	1411812121	\x003000340034003500370037003700360037003600350034003500360037003800390037003800380036003400330032003000310031002f003200320034003300330033003200320032003100310033003300330034003500340033003300330033	\xff32ff34ff33ff33ff33ff35ff35ff35ff35ff34ff33ff32ff33ff33ff34ff33ff34ff35ff36ff37ff37ff37ff37ff37ff35ff35ff34ff35ff35ff34ff34ff35ff35ff35ff36ff35ff36ff36ff35ff35ff36ff36ff37ff37ff38ff38ff38ff38ff37	\x0015001500150016001700170016001700150016001500160013001200120010001200110011001100120013001500170015001600160015001600140011001100120012001200110010001000110011001100120010001300140015001500150015
8	4607	1411812122	\x00320032003200320033003300330033003100300030002f002f002f002e002f0030003100320034003100310033003200320031002f00300033003300320032003300340035003500350035003500360035003400340033003300330031003000300031	\xff35ff35ff36ff36ff36ff37ff36ff36ff36ff38ff38ff37ff38ff37ff37ff39ff39ff36ff35ff36ff35ff37ff37ff36ff36ff37ff37ff37ff37ff39ff39ff38ff37ff37ff37ff36ff36ff34ff33ff32ff32ff32ff32ff32ff33ff34ff34ff35ff36ff36	\x001500170017001600160017001700180017001500140015001400130012001200120013001200120010001200100010001000120011000f0010000f00120010001100110012001300120011000f000f000d000d000c000d000e000e0010001000120011
9	4607	1411812123	\x00320032003300350037003900390039003800380038003600340032003300330032002f002f00310032003200310030002f00310030002f002f002f002f0030003100300031003200320033003300330032003200320032003200300031003100320033	\xff39ff39ff39ff38ff39ff38ff37ff37ff35ff34ff34ff35ff36ff36ff37ff35ff35ff37ff37ff36ff36ff36ff35ff36ff36ff35ff34ff35ff35ff34ff34ff35ff33ff33ff34ff33ff32ff34ff35ff35ff37ff36ff36ff38ff39ff38ff37ff37ff37ff38	\x00120011001100120011001400140015001500150015001600170016001500150014001500150013001200120013001300130014001400150014001400150016001700160015001700170017001700150016001500140013001200120011001100100010
10	4607	1411812124	\x003200320033003400350036003500350035003300330031002f002e002f0030003200340034003700370037003700360034003400320032003400340034003500350033003500350033003300340033003300350033003300320032003000310030	\xff37ff35ff35ff35ff35ff34ff36ff37ff38ff38ff3aff3aff3aff3aff37ff35ff35ff35ff33ff33ff33ff33ff33ff34ff35ff34ff34ff34ff35ff35ff37ff37ff34ff34ff35ff34ff34ff33ff32ff30ff31ff31ff31ff34ff34ff34ff34ff37ff37	\x0011000f00100010001000100010001200110011000f00100011001100110010001100130015001300140012001300130011001000100011000f00120011001300150014001400140012001200110011001000110010001000130012001300130015
11	4607	1411812125	\x0030003000300032003100320032003300330034003400330034003500360036003700360038003800390039003800360036003600350034003200310030002f002d002d002e002f00310031003200350037003800370037003700380036003500350033	\xff38ff39ff36ff36ff35ff35ff34ff34ff33ff34ff35ff34ff35ff35ff35ff35ff36ff36ff36ff37ff36ff36ff36ff38ff36ff36ff35ff35ff37ff38ff39ff38ff39ff38ff39ff3aff3aff38ff37ff38ff39ff3aff38ff37ff35ff35ff35ff35ff34ff35	\x00150015001400140013001200140014001500150015001500170017001600140012001200130012001100110011001300130012001100120013001300120014001400160016001500150017001600130013001200120011001200100011001100100010
12	4607	1411812126	\x0033003300330032003300320032003400330030002f003000300030002f002e002e0030002f002e00300032003300330033003500370038003800370036003400340032003200300030002f0030003100300031003000310031002f002f0030002f	\xff35ff35ff35ff35ff35ff35ff35ff34ff35ff35ff34ff34ff34ff35ff36ff36ff35ff34ff36ff36ff36ff36ff35ff35ff33ff33ff33ff33ff32ff31ff31ff32ff35ff35ff35ff37ff38ff39ff38ff38ff37ff37ff3aff37ff37ff36ff37ff35ff37	\x001100100010001000110011001200110013001100110011000f001000110010000f001000110010001200120013001300120011001100120010000f000f00100010001100110011001100120011000e001100110010001000110011001200140013
13	4607	1411812127	\x002f0031003200330033003500330033003300320031002f002f002e002f002f002f003000300030002f0030003100300032003200310032003100300030003200300030002f00310033003400330034003200330034003400350035003500360037	\xff36ff33ff35ff36ff36ff35ff37ff37ff36ff38ff36ff34ff35ff35ff34ff33ff34ff32ff33ff36ff36ff35ff35ff36ff35ff35ff36ff35ff34ff36ff38ff37ff39ff38ff37ff37ff37ff35ff35ff35ff35ff37ff38ff37ff37ff36ff36ff36ff35	\x0012001200140014001500140013001200140014001200110010001000130011001000100012001300160014001200150015001600150013001200130014001300150014001500170017001700160016001600160015001500150013001300120012
14	4607	1411812128	\x00360036003500330031002f002d002d002d002e0030002f003000300032003200320031002f002f002f0031003000310030002f002f003000310031003200320033003400350035003400340033003200330032003100310032003100320033003200320033	\xff34ff34ff35ff33ff34ff34ff35ff35ff36ff35ff36ff39ff39ff39ff38ff36ff36ff36ff36ff35ff36ff35ff36ff38ff38ff39ff37ff38ff37ff37ff37ff37ff37ff37ff37ff38ff37ff38ff36ff36ff36ff36ff37ff35ff36ff36ff36ff36ff35ff35ff34	\x001200110012001200130014001500170016001600140013001200120010000e000e000e000f000f000f000e0011001300140014001300150015001600150014001400150015001500160015001300120012000f000f0010000e000f000f0010000f00110012
15	4607	1411812129	\x0033003300340032003200320033003300330033003300340032003200320030002f002f00300031003300310033003400340034003300340035003600350038003700370038003700340034003300320032003200310031003100310031003100310032	\xff33ff33ff34ff35ff35ff36ff36ff36ff38ff37ff37ff37ff36ff36ff36ff38ff37ff36ff37ff36ff36ff37ff37ff35ff36ff38ff37ff38ff37ff36ff36ff37ff36ff35ff34ff33ff33ff33ff31ff2fff31ff31ff33ff35ff35ff37ff39ff3cff3bff39	\x00110011001100140015001600150014001400160017001400140015001600170016001500160017001400140014001300130014001300120014001500160016001700170017001500140013001300120011000f000f0011001300130011001400130016
16	4607	1411812130	\x003100300030002f002d002f002e002f002f002f0030003100340034003500350035003700380037003500330033003300330031003000310031003400340033003300350035003300330031003200320032003100310033003300300030002f002f	\xff37ff37ff39ff35ff35ff34ff35ff36ff36ff37ff37ff38ff38ff38ff37ff36ff36ff36ff34ff34ff34ff35ff37ff36ff35ff35ff36ff37ff36ff36ff34ff35ff36ff36ff36ff34ff32ff33ff33ff33ff33ff32ff32ff32ff34ff34ff36ff36ff35	\x00150016001500150016001300130011001100100010000f000e001000100011001000120012001300120013001500130015001500140014001600130012001500140013001200130012001400130011001200120014001300120012001200120013
17	4607	1411812131	\x0030002f003100300032003100320032003200330031003200320032003200310032003200320032003100310033003300340033003400330034003400340034003300320030003100310030003000310032003200340032003300350035003400330036	\xff37ff39ff3cff3cff3dff3bff3aff39ff39ff36ff35ff35ff36ff35ff36ff36ff36ff36ff35ff34ff33ff34ff35ff35ff35ff35ff35ff34ff37ff36ff35ff34ff36ff37ff39ff39ff36ff35ff35ff35ff36ff35ff34ff33ff35ff37ff38ff38ff37ff37	\x001400120012001200120013001300120013001300140016001400140012001300110010000f000f000e000f0011001100120012001100100012001200110010001100140014001400150014001500140015001300150014001300130011001200100010
18	4607	1411812132	\x00340034003100310031003200330032003200330032003300330033003200330034003500360035003300330034003200300030002f002f00300030003000300030003000330032003300310031003100330033002f0030002f0030003100310030	\xff36ff36ff35ff32ff32ff33ff33ff33ff35ff38ff38ff39ff39ff3aff39ff39ff37ff35ff35ff35ff34ff32ff33ff33ff33ff31ff30ff30ff31ff31ff31ff31ff32ff34ff35ff34ff36ff37ff37ff38ff39ff38ff3bff3bff3aff3aff3bff3bff3a	\x00110011001200120013001200110011001000100011001100110011001100110011000f000f000e000e000e000e000e0010001200120013001300120013001400120012001200120011001200120011001100120012001300150014001300130012
19	4607	1411812133	\x00310034003300340033003200320031002f0031003000310032003200330034003400340035003300320032003200330033003200310030003200320032003100310031003000320031003100310030002f002f002d002e002e002e002f002f002f0031	\xff3bff3aff39ff39ff38ff37ff37ff38ff37ff36ff37ff36ff36ff36ff35ff34ff35ff35ff35ff35ff35ff35ff37ff38ff37ff37ff37ff37ff37ff37ff36ff37ff36ff37ff37ff38ff36ff36ff36ff36ff36ff38ff36ff35ff37ff37ff37ff37ff36ff35	\x001200130010000e000e000f00110010000f000e0011001000100010000e000e000f000f000f00100011001000130012001200120011001300130012001300130014001300160014001400140011001200110012000f000e000f00110013001400150014
