n	Session	wfm.seconds.Elapsed	wfm.mac_addr.Mac	wfm.mac_addr.Essid	wfm.mac_addr.Frequency	wfm.mac_addr.Auth	wfm.mac_addr.Extra	wfm.snr
1	4607	1411812115	0015c72a5e20	eduroam	2412	WPA-Enterprise		-86
2	4607	1411812115	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-87
3	4607	1411812115	0015c72abd80	eduroam	2462	WPA-Enterprise		-85
4	4607	1411812115	0015c72a5e21	feup.conferencias	2412	Open		-87
5	4607	1411812115	0015c72abd81	UPorto	2462	Open		-88
6	4607	1411812115	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-82
7	4607	1411812117	0015c72a5e20	eduroam	2412	WPA-Enterprise		-84
8	4607	1411812117	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-87
9	4607	1411812117	0015c72a5e21	feup.conferencias	2412	Open		-83
10	4607	1411812117	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-83
11	4607	1411812118	0015c72a5e20	eduroam	2412	WPA-Enterprise		-86
12	4607	1411812118	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-87
13	4607	1411812118	0015c72a5e21	feup.conferencias	2412	Open		-81
14	4607	1411812118	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-85
15	4607	1411812120	0015c72a5e20	eduroam	2412	WPA-Enterprise		-86
16	4607	1411812120	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-87
17	4607	1411812120	0015c72a5e21	feup.conferencias	2412	Open		-84
18	4607	1411812120	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-85
19	4607	1411812121	0015c72a5e20	eduroam	2412	WPA-Enterprise		-83
20	4607	1411812121	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-87
21	4607	1411812121	0015c72a5e21	feup.conferencias	2412	Open		-84
22	4607	1411812121	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-85
23	4607	1411812123	0015c72a5e20	eduroam	2412	WPA-Enterprise		-83
24	4607	1411812123	0015c72a5e21	feup.conferencias	2412	Open		-87
25	4607	1411812123	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-88
26	4607	1411812124	0015c72a5e20	eduroam	2412	WPA-Enterprise		-85
27	4607	1411812124	0015c72a5e21	feup.conferencias	2412	Open		-83
28	4607	1411812124	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-85
29	4607	1411812124	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-91
30	4607	1411812126	0015c72a5e20	eduroam	2412	WPA-Enterprise		-85
31	4607	1411812126	0015c72a5e21	feup.conferencias	2412	Open		-83
32	4607	1411812126	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-85
33	4607	1411812126	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-91
34	4607	1411812126	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
35	4607	1411812127	0015c72a5e20	eduroam	2412	WPA-Enterprise		-87
36	4607	1411812127	0015c72a5e21	feup.conferencias	2412	Open		-83
37	4607	1411812127	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-85
38	4607	1411812127	0001f45ba4df	RoamAbout Default Network Name	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-91
39	4607	1411812127	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
40	4607	1411812129	0015c72a5e20	eduroam	2412	WPA-Enterprise		-87
41	4607	1411812129	0015c72a5e21	feup.conferencias	2412	Open		-85
