systime	sender_id	rssi
000076.159	2	-52
000076.166	4	-51
000076.172	1	-86
000076.181	2	-53
000076.193	1	-79
000076.204	2	-43
000076.209	4	-42
000076.214	1	-74
000076.235	1	-79
000076.246	2	-43
000076.251	4	-41
000076.257	1	-70
000076.277	1	-70
000076.288	2	-40
000076.293	4	-39
000076.298	1	-77
000076.319	1	-70
000076.331	2	-39
000076.337	4	-41
000076.341	1	-69
000076.357	4	-41
000076.362	1	-74
000076.372	2	-41
000076.385	1	-63
000076.394	2	-39
000076.399	4	-39
000076.404	1	-72
000076.415	2	-41
000076.420	4	-41
000076.425	1	-73
000076.442	4	-39
000076.447	1	-71
000076.459	2	-42
000076.465	4	-41
000076.470	1	-70
000076.479	2	-42
000076.490	1	-73
000076.499	2	-42
000076.506	4	-41
000076.513	1	-72
000076.523	2	-42
000076.528	4	-41
000076.532	1	-78
000076.544	2	-43
000076.549	4	-41
000076.554	1	-73
000076.574	1	-72
000076.589	2	-44
000076.593	4	-41
000076.598	1	-76
000076.613	2	-43
000076.618	4	-41
000076.623	1	-81
000076.632	2	-43
000076.644	1	-78
000076.660	4	-41
000076.666	1	-84
000076.676	2	-44
000076.686	1	-77
000076.697	2	-42
000076.701	4	-42
000076.707	1	-80
000076.717	2	-42
000076.722	4	-41
000076.728	1	-78
000076.742	2	-39
000076.747	4	-41
000076.751	1	-78
000076.760	2	-38
000076.767	4	-41
000076.772	1	-83
000076.782	2	-41
000076.794	1	-77
000076.803	2	-38
000076.808	4	-42
000076.814	1	-80
000076.828	2	-40
000076.832	4	-41
000076.836	1	-82
000076.852	4	-42
000076.857	1	-78
000076.870	2	-41
000076.883	4	-41
000076.888	1	-78
000076.895	2	-38
000076.900	4	-41
000076.904	1	-77
000076.923	1	-73
000076.935	2	-41
000076.941	4	-41
000076.948	1	-74
000076.957	2	-39
000076.966	1	-72
000076.983	4	-42
000076.988	1	-73
000076.999	2	-38
000077.004	4	-41
000077.009	1	-77
000077.023	2	-41
000077.028	4	-39
000077.033	1	-72
000077.042	2	-38
000077.049	4	-41
000077.063	2	-41
000077.071	4	-38
000077.076	1	-74
000077.085	2	-42
000077.096	1	-72
000077.113	4	-42
000077.118	1	-81
000077.127	2	-42
000077.138	1	-72
000077.151	2	-42
000077.157	4	-38
000077.161	1	-76
000077.170	2	-41
000077.177	4	-40
000077.191	2	-41
000077.204	1	-76
000077.213	2	-41
000077.219	4	-40
000077.224	1	-80
000077.244	1	-77
000077.255	2	-41
000077.261	4	-38
000077.266	1	-85
000077.286	1	-79
000077.297	2	-42
000077.303	4	-42
000077.308	1	-83
000077.328	1	-79
000077.339	2	-41
000077.345	4	-41
000077.350	1	-83
000077.360	2	-38
000077.370	1	-75
000077.383	2	-38
000077.387	4	-38
000077.392	1	-77
000077.407	2	-41
000077.412	4	-41
000077.417	1	-82
000077.426	2	-41
000077.433	4	-41
000077.438	1	-83
000077.460	1	-80
000077.471	2	-38
000077.476	4	-41
000077.480	1	-82
000077.492	2	-41
000077.497	4	-41
000077.502	1	-77
000077.519	4	-41
000077.524	1	-76
000077.536	2	-41
000077.541	4	-40
000077.545	1	-78
000077.566	1	-75
000077.578	2	-41
000077.583	4	-41
000077.588	1	-84
000077.605	4	-41
000077.610	1	-80
000077.620	2	-41
000077.647	4	-41
000077.656	1	-80
000077.663	2	-39
000077.708	4	-41
000077.721	1	-80
000077.725	2	-42
000077.729	2	-42
000077.733	4	-41
000077.737	1	-85
000077.764	2	-42
000077.785	4	-41
000077.789	1	-78
000077.793	4	-38
000077.797	1	-79
000077.801	2	-42
000077.805	4	-41
000077.809	1	-74
000077.817	2	-41
000077.825	4	-38
000077.839	2	-41
000077.843	4	-41
000077.847	1	-76
000077.860	2	-41
000077.865	1	-82
000077.880	2	-41
000077.889	4	-41
000077.894	1	-82
000077.900	2	-41
000077.906	1	-80
000077.947	2	-41
000077.952	1	-78
000077.956	4	-41
000077.960	2	-41
000077.963	1	-78
000077.967	4	-41
000077.972	4	-40
000077.989	2	-40
000077.993	1	-76
000077.997	4	-41
000078.040	4	-41
000078.045	2	-38
000078.048	1	-74
000078.091	1	-77
000078.096	4	-41
000078.100	2	-37
000078.104	1	-77
000078.108	4	-41
000078.112	1	-75
000078.117	4	-41
000078.120	2	-37
000078.125	1	-79
000078.129	4	-41
000078.135	2	-38
000078.148	1	-76
000078.152	4	-41
000078.185	4	-41
000078.190	2	-41
000078.194	1	-74
000078.210	1	-79
000078.216	4	-41
000078.223	2	-41
000078.229	1	-78
000078.243	2	-41
000078.249	1	-79
000078.258	4	-41
000078.266	2	-39
000078.271	1	-78
000078.297	4	-41
000078.308	2	-41
000078.313	1	-78
000078.330	2	-38
000078.334	1	-79
000078.339	4	-39
000078.351	2	-40
000078.357	1	-74
000078.361	4	-41
000078.392	1	-77
000078.397	4	-41
000078.401	2	-40
000078.405	1	-77
000078.409	4	-41
000078.434	1	-79
000078.442	2	-40
000078.446	1	-79
000078.450	4	-41
000078.461	1	-74
000078.471	4	-39
000078.478	2	-37
000078.485	1	-82
000078.494	4	-41
000078.498	2	-40
000078.503	1	-75
000078.520	2	-37
000078.525	1	-80
000078.536	4	-41
000078.546	1	-75
000078.557	4	-41
000078.562	2	-40
000078.567	1	-80
000078.577	4	-41
000078.588	1	-77
000078.598	4	-41
000078.604	2	-40
000078.609	1	-77
000078.619	4	-41
000078.630	1	-73
000078.642	4	-42
000078.646	2	-37
000078.652	1	-77
000078.663	4	-40
000078.668	2	-37
000078.672	1	-73
000078.689	2	-38
000078.694	1	-78
000078.705	4	-41
000078.715	1	-76
000078.731	2	-37
000078.736	1	-79
000078.747	4	-41
000078.757	1	-74
000078.773	2	-40
000078.778	1	-76
000078.789	4	-41
000078.800	1	-76
000078.815	2	-40
000078.833	1	-75
000078.837	4	-41
000078.872	1	-77
000078.877	2	-40
000078.880	1	-75
000078.884	4	-41
000078.888	1	-79
000078.917	2	-37
000078.926	1	-74
000078.930	4	-38
000078.933	2	-40
000078.937	1	-75
000078.957	1	-75
000078.980	4	-42
000078.983	2	-40
000078.987	1	-76
000078.991	4	-41
000078.995	1	-79
000079.006	2	-37
000079.010	1	-78
000079.027	4	-41
000079.065	1	-77
000079.069	4	-41
000079.073	2	-40
000079.077	1	-76
000079.081	2	-40
000079.086	1	-76
000079.090	4	-41
000079.094	2	-37
000079.099	1	-77
000079.133	2	-40
000079.138	1	-78
000079.142	4	-41
000079.146	1	-77
000079.157	2	-41
000079.187	1	-78
000079.190	4	-42
000079.194	1	-81
000079.200	2	-40
000079.247	1	-77
000079.251	4	-41
000079.255	2	-40
000079.259	1	-80
000079.263	4	-41
000079.266	2	-40
000079.271	1	-79
000079.275	4	-41
000079.279	1	-76
000079.283	4	-42
000079.287	2	-40
000079.292	1	-78
000079.299	4	-41
000079.310	1	-75
000079.328	2	-40
000079.332	1	-74
000079.342	4	-41
000079.390	1	-76
000079.394	4	-41
000079.397	2	-40
000079.401	1	-77
000079.405	2	-40
000079.409	1	-74
000079.413	4	-41
000079.419	1	-75
000079.439	2	-40
000079.443	1	-75
000079.448	4	-38
000079.456	2	-37
000079.465	1	-78
000079.469	4	-41
000079.474	2	-40
000079.491	4	-41
000079.496	2	-40
000079.509	1	-76
000079.514	4	-41
000079.519	2	-40
000079.529	1	-75
000079.540	2	-40
000079.553	1	-77
000079.557	4	-41
000079.572	1	-76
000079.584	2	-40
000079.595	1	-75
000079.599	4	-41
000079.605	2	-40
000079.615	1	-77
000079.621	4	-41
000079.628	2	-40
000079.637	1	-76
000079.642	4	-41
000079.651	2	-40
000079.663	1	-76
000079.668	2	-40
000079.685	4	-41
000079.689	2	-40
000079.703	1	-76
000079.713	4	-41
000079.716	2	-40
000079.725	1	-77
000079.730	4	-41
000079.737	2	-40
000079.746	1	-78
000079.751	4	-41
000079.790	1	-77
000079.795	4	-41
000079.799	2	-40
000079.803	1	-81
000079.807	4	-39
000079.811	2	-40
000079.815	1	-78
000079.824	2	-40
000079.830	1	-78
000079.838	4	-41
000079.847	2	-38
000079.852	1	-79
000079.868	2	-40
000079.873	1	-75
000079.880	4	-40
000079.892	2	-40
000079.896	1	-77
000079.913	2	-40
000079.919	1	-75
000079.923	4	-41
000079.948	4	-41
000079.957	2	-37
000079.962	1	-75
000079.978	2	-40
000079.983	1	-79
000079.987	4	-42
000080.009	4	-41
000080.020	2	-38
000080.025	1	-82
000080.041	2	-40
000080.047	1	-83
000080.052	4	-41
000080.076	4	-41
000080.085	2	-40
000080.089	1	-81
000080.095	4	-39
000080.106	2	-37
000080.111	1	-80
000080.137	4	-38
000080.148	2	-40
000080.153	1	-83
000080.175	1	-80
000080.179	4	-41
000080.190	2	-40
000080.195	1	-82
000080.204	4	-41
000080.213	2	-37
000080.218	1	-80
000080.235	2	-38
000080.239	1	-80
000080.243	4	-41
000080.265	4	-38
000080.276	2	-37
000080.281	1	-82
000080.303	1	-81
000080.308	4	-41
000080.318	2	-38
000080.323	1	-80
000080.332	4	-42
000080.341	2	-40
000080.345	1	-79
000080.362	2	-40
000080.367	1	-79
000080.372	4	-41
000080.388	1	-78
000080.393	4	-39
000080.404	2	-40
000080.409	1	-77
000080.429	2	-40
000080.433	1	-75
000080.438	4	-41
000080.447	2	-40
000080.457	1	-75
000080.461	4	-41
000080.470	2	-37
000080.475	1	-77
000080.486	4	-42
000080.495	2	-37
000080.499	1	-78
000080.505	4	-41
000080.515	2	-40
000080.520	1	-77
000080.536	2	-37
000080.541	1	-80
000080.547	4	-41
000080.558	2	-38
000080.563	1	-79
000080.589	4	-41
000080.599	2	-40
000080.604	1	-78
000080.614	4	-41
000080.623	2	-40
000080.627	1	-79
000080.644	2	-40
000080.648	1	-78
000080.653	4	-38
000080.664	2	-40
000080.669	1	-76
000080.675	4	-41
000080.686	2	-38
000080.691	1	-76
000080.717	4	-41
000080.727	2	-38
000080.732	1	-77
000080.738	4	-41
000080.749	2	-40
000080.753	1	-77
000080.760	4	-40
000080.769	2	-40
000080.774	1	-77
000080.781	4	-41
000080.791	2	-38
000080.796	1	-75
000080.802	4	-41
000080.814	2	-40
000080.819	1	-75
000080.824	4	-41
000080.845	4	-42
000080.856	2	-37
000080.861	1	-78
000080.870	4	-41
000080.879	2	-38
000080.884	1	-76
000080.888	4	-41
000080.910	4	-41
000080.921	2	-40
000080.925	1	-78
000080.942	2	-40
000080.947	1	-78
000080.951	4	-42
000080.969	1	-78
000080.973	4	-40
000080.983	2	-38
000080.989	1	-77
000080.998	4	-40
000081.007	2	-37
000081.012	1	-79
000081.028	2	-40
000081.033	1	-79
000081.038	4	-41
000081.054	1	-76
000081.071	2	-38
000081.075	1	-74
000081.080	4	-41
000081.095	2	-40
000081.099	1	-79
000081.104	4	-41
000081.123	1	-78
000081.127	4	-41
000081.136	2	-40
000081.141	1	-77
000081.157	2	-38
000081.162	1	-80
000081.169	4	-41
000081.179	2	-40
000081.184	1	-84
000081.211	4	-39
000081.223	2	-38
000081.227	1	-87
000081.251	1	-79
000081.255	4	-41
000081.264	2	-40
000081.269	1	-79
000081.285	2	-40
000081.290	1	-81
000081.297	4	-41
000081.311	1	-79
000081.327	2	-40
000081.332	1	-80
000081.339	4	-42
000081.353	1	-80
000081.369	2	-38
000081.374	1	-85
000081.382	4	-41
000081.391	2	-37
000081.396	1	-85
000081.412	2	-40
000081.417	1	-84
000081.423	4	-38
000081.438	1	-83
000081.444	4	-41
000081.454	2	-40
000081.459	1	-81
000081.465	4	-41
000081.481	1	-85
000081.487	4	-41
000081.496	2	-40
000081.502	1	-81
000081.510	4	-41
000081.519	2	-40
000081.524	1	-79
000081.529	4	-42
000081.540	2	-38
000081.546	1	-85
000081.550	4	-41
000081.562	2	-37
000081.566	1	-90
000081.571	4	-41
000081.584	2	-40
000081.588	1	-82
000081.593	4	-41
000081.609	1	-84
000081.614	4	-41
000081.624	2	-37
000081.630	1	-84
000081.638	4	-41
000081.647	2	-40
000081.652	1	-83
000081.657	4	-42
000081.669	2	-40
000081.673	1	-81
000081.679	4	-41
000081.689	2	-40
000081.694	1	-82
000081.700	4	-39
000081.711	2	-40
000081.715	1	-80
000081.722	4	-38
000081.735	2	-41
000081.740	1	-81
000081.744	4	-41
000081.753	2	-37
000081.763	1	-84
000081.768	4	-41
000081.777	2	-40
000081.781	1	-83
000081.792	4	-42
000081.801	2	-40
000081.805	1	-81
000081.810	4	-41
000081.822	2	-40
000081.827	1	-82
000081.832	4	-41
000081.864	2	-40
000081.868	1	-83
000081.873	4	-41
000081.885	2	-40
000081.891	1	-86
000081.895	4	-42
000081.907	2	-38
000081.912	1	-87
000081.916	4	-39
000081.938	4	-41
000081.949	2	-40
000081.954	1	-82
000081.980	4	-41
000081.992	2	-37
000081.997	1	-77
000082.002	4	-42
000082.013	2	-38
000082.019	1	-80
000082.023	4	-38
000082.035	2	-40
000082.040	1	-78
000082.044	4	-41
000082.066	4	-39
000082.077	2	-38
000082.082	1	-80
000082.108	4	-41
000082.122	2	-37
000082.126	1	-80
000082.131	4	-38
000082.145	2	-40
000082.149	1	-81
000082.154	4	-39
000082.173	1	-78
000082.177	4	-41
000082.186	2	-40
000082.191	1	-80
000082.207	2	-40
000082.212	1	-78
000082.219	4	-41
000082.233	1	-81
000082.249	2	-40
000082.254	1	-81
000082.261	4	-42
000082.275	1	-79
000082.291	2	-41
000082.296	1	-80
000082.312	4	-41
000082.319	1	-84
000082.326	4	-42
000082.333	2	-40
000082.338	1	-83
000082.359	1	-83
000082.368	4	-41
000082.375	2	-40
000082.380	1	-81
000082.389	4	-41
000082.403	1	-79
000082.412	4	-41
000082.417	2	-40
000082.422	1	-82
000082.433	4	-41
000082.438	2	-37
000082.443	1	-79
000082.454	4	-41
000082.464	1	-83
000082.475	4	-39
000082.480	2	-40
000082.485	1	-82
000082.496	4	-41
000082.506	1	-81
000082.517	4	-41
000082.522	2	-40
000082.527	1	-81
000082.538	4	-41
000082.548	1	-83
000082.560	4	-42
000082.565	2	-40
000082.569	1	-83
000082.581	4	-41
000082.586	2	-37
000082.591	1	-81
000082.603	4	-41
000082.608	2	-40
000082.612	1	-83
000082.631	2	-41
000082.636	1	-81
000082.645	4	-41
000082.659	1	-85
000082.668	4	-41
000082.673	2	-40
000082.678	1	-87
000082.689	4	-42
000082.699	1	-89
000082.710	4	-42
000082.715	2	-38
000082.720	1	-82
000082.731	4	-41
000082.741	1	-83
000082.752	4	-41
000082.759	2	-38
000082.764	1	-86
000082.773	4	-41
000082.778	2	-40
000082.787	1	-83
000082.796	4	-41
000082.801	2	-40
000082.806	1	-83
000082.817	4	-39
000082.822	2	-38
000082.827	1	-86
000082.839	4	-41
000082.843	2	-40
000082.848	1	-81
000082.859	4	-39
000082.869	1	-86
000082.880	4	-41
000082.887	2	-40
000082.892	1	-83
000082.901	4	-41
000082.906	2	-40
000082.922	4	-41
000082.927	2	-38
000082.933	1	-86
000082.944	4	-41
000082.949	2	-40
000082.954	1	-83
000082.965	4	-41
000082.970	2	-41
