systime	gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1411812790.88597	1411812797.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812792.84597	1411812798.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812793.90549	1411812800.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812794.88721	1411812801.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812795.88742	1411812802.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812797.83596	1411812803.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812798.86839	1411812805.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812799.88164	1411812806.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812800.88989	1411812807.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812802.85918	1411812808.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812803.88391	1411812810.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812804.87527	1411812811.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812805.90497	1411812812.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812807.84274	1411812813.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812808.86404	1411812815.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812809.89577	1411812816.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812810.86613	1411812817.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812812.84883	1411812818.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812813.88005	1411812820.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812814.92168	1411812821.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812815.89492	1411812822.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812817.81380	1411812823.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812818.83794	1411812824.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812819.87508	1411812826.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812820.86573	1411812827.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812822.84796	1411812828.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812823.89202	1411812830.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812824.88370	1411812831.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812825.86464	1411812832.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812827.85598	1411812833.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812828.90721	1411812835.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812829.89480	1411812836.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812830.81263	1411812837.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	2.9	3.4
1411812832.25147	1411812837.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812832.81964	1411812839.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812833.81501	1411812839.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812834.80815	1411812840.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812835.96262	1411812842.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812837.27389	1411812843.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812837.81956	1411812844.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812838.86315	1411812845.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812839.92686	1411812846.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812840.88484	1411812847.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812842.97394	1411812849.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812843.81366	1411812850.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812844.86279	1411812851.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812845.87821	1411812852.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812847.83588	1411812854.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812848.89352	1411812855.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812850.05674	1411812856.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812850.97467	1411812857.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812852.92545	1411812859.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812853.99913	1411812860.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812854.81843	1411812861.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812855.81590	1411812861.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812857.82214	1411812864.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812858.90771	1411812865.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812859.99793	1411812866.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812861.05475	1411812867.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812862.29044	1411812868.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812863.09293	1411812869.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812863.83647	1411812870.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812864.82110	1411812871.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812866.14282	1411812872.00	41.169320	-8.597420	166.4	0.000	183.8600	1.7	3.0	3.4
1411812867.91150	1411812874.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812868.98903	1411812875.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812869.84259	1411812876.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812870.84292	1411812877.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812872.28098	1411812878.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812872.83442	1411812879.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812873.83934	1411812880.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812874.84020	1411812881.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812875.83572	1411812882.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812877.28190	1411812883.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812877.83754	1411812884.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812878.87829	1411812885.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812879.88995	1411812886.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812880.93114	1411812887.00	41.169320	-8.597420	166.4	0.000	183.8600	1.2	2.2	2.5
1411812882.86039	1411812888.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812883.90638	1411812890.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812884.88852	1411812891.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812885.91050	1411812892.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812887.90979	1411812894.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812888.93534	1411812895.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812889.92659	1411812896.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812890.89615	1411812897.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812892.88205	1411812898.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812893.91576	1411812900.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812894.89315	1411812901.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812895.96144	1411812902.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812897.89230	1411812904.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812899.17697	1411812905.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812899.92000	1411812906.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812900.91203	1411812907.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812902.87891	1411812908.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812903.92458	1411812910.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812904.92291	1411812911.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812905.87890	1411812912.00	41.169320	-8.597420	166.4	0.000	183.8600	1.1	1.5	1.9
1411812907.84225	1411812913.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812908.88052	1411812915.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812909.88467	1411812916.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812910.89913	1411812917.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812912.33234	1411812918.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812912.88772	1411812919.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
1411812913.90559	1411812920.00	41.169320	-8.597420	166.4	0.000	183.8600	1.6	2.1	2.6
