n	Session	wfm.seconds.Elapsed	wfm.mac_addr.Mac	wfm.mac_addr.Essid	wfm.mac_addr.Frequency	wfm.mac_addr.Auth	wfm.mac_addr.Extra	wfm.snr
1	4608	1411812106	0c85253285c0	eduroam	2437	WPA-Enterprise		-85
2	4608	1411812106	0015c72a5e20	eduroam	2412	WPA-Enterprise		-78
3	4608	1411812106	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-88
4	4608	1411812109	0c85253285c1	UPorto	2437	Open		-91
5	4608	1411812109	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-88
6	4608	1411812109	0c85253285c0	eduroam	2437	WPA-Enterprise		-88
7	4608	1411812109	0015c72a5e20	eduroam	2412	WPA-Enterprise		-89
8	4608	1411812109	0015c72a5e21	feup.conferencias	2412	Open		-88
9	4608	1411812111	0c85253285c0	eduroam	2437	WPA-Enterprise		-85
10	4608	1411812111	0015c72a5e20	eduroam	2412	WPA-Enterprise		-89
11	4608	1411812111	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-88
12	4608	1411812111	0015c72a5e21	feup.conferencias	2412	Open		-88
13	4608	1411812111	0c85253285c1	UPorto	2437	Open		-91
14	4608	1411812111	08cc68664451	UPorto	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-90
15	4608	1411812114	0015c72a5e20	eduroam	2412	WPA-Enterprise		-89
16	4608	1411812114	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-87
17	4608	1411812114	0c85253285c0	eduroam	2437	WPA-Enterprise		-84
18	4608	1411812114	0015c72a5e21	feup.conferencias	2412	Open		-84
19	4608	1411812114	0c85253285c1	UPorto	2437	Open		-91
20	4608	1411812114	08cc68664451	UPorto	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-90
21	4608	1411812116	0015c72a5e21	feup.conferencias	2412	Open		-76
22	4608	1411812116	0015c72a5e20	eduroam	2412	WPA-Enterprise		-76
23	4608	1411812116	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-83
24	4608	1411812116	0c85253285c0	eduroam	2437	WPA-Enterprise		-85
25	4608	1411812116	0c85253285c1	UPorto	2437	Open		-85
26	4608	1411812116	08cc68664451	UPorto	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-90
27	4608	1411812116	0017dfa89dc1	UPorto	2462	Open		-90
28	4608	1411812116	0015c72abd81	UPorto	2462	Open		-90
29	4608	1411812118	0015c72a5e20	eduroam	2412	WPA-Enterprise		-76
30	4608	1411812118	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-84
31	4608	1411812118	0c85253285c0	eduroam	2437	WPA-Enterprise		-86
32	4608	1411812118	0015c72a5e21	feup.conferencias	2412	Open		-77
33	4608	1411812118	0c85253285c1	UPorto	2437	Open		-85
34	4608	1411812118	0017dfa89dc1	UPorto	2462	Open		-90
35	4608	1411812118	0015c72abd81	UPorto	2462	Open		-90
36	4608	1411812118	0015c72abd80	eduroam	2462	WPA-Enterprise		-89
37	4608	1411812118	001daac3ad18	SERVICO_CLIENTE	2437	Open		-88
38	4608	1411812121	0015c72a5e20	eduroam	2412	WPA-Enterprise		-76
39	4608	1411812121	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-85
40	4608	1411812121	0c85253285c0	eduroam	2437	WPA-Enterprise		-85
41	4608	1411812121	0015c72a5e21	feup.conferencias	2412	Open		-77
42	4608	1411812121	0c85253285c1	UPorto	2437	Open		-85
43	4608	1411812121	0017dfa89dc1	UPorto	2462	Open		-90
44	4608	1411812121	0015c72abd81	UPorto	2462	Open		-90
45	4608	1411812121	0015c72abd80	eduroam	2462	WPA-Enterprise		-88
46	4608	1411812121	001daac3ad18	SERVICO_CLIENTE	2437	Open		-89
47	4608	1411812123	0015c72a5e21	feup.conferencias	2412	Open		-76
48	4608	1411812123	0015c72a5e20	eduroam	2412	WPA-Enterprise		-76
49	4608	1411812123	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-84
50	4608	1411812123	0c85253285c0	eduroam	2437	WPA-Enterprise		-86
51	4608	1411812123	0015c72abd80	eduroam	2462	WPA-Enterprise		-88
52	4608	1411812123	001daac3ad18	SERVICO_CLIENTE	2437	Open		-89
53	4608	1411812126	0015c72a5e20	eduroam	2412	WPA-Enterprise		-77
54	4608	1411812126	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-85
55	4608	1411812126	0c85253285c0	eduroam	2437	WPA-Enterprise		-85
56	4608	1411812126	0015c72a5e21	feup.conferencias	2412	Open		-76
57	4608	1411812126	0015c72abd80	eduroam	2462	WPA-Enterprise		-88
58	4608	1411812126	001daac3ad18	SERVICO_CLIENTE	2437	Open		-89
59	4608	1411812128	0015c72a5e20	eduroam	2412	WPA-Enterprise		-76
60	4608	1411812128	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-84
61	4608	1411812128	0c85253285c0	eduroam	2437	WPA-Enterprise		-86
62	4608	1411812128	0015c72a5e21	feup.conferencias	2412	Open		-76
63	4608	1411812128	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-82
64	4608	1411812128	0015c72abd81	UPorto	2462	Open		-88
65	4608	1411812130	0015c72a5e20	eduroam	2412	WPA-Enterprise		-77
66	4608	1411812130	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-85
67	4608	1411812130	0c85253285c0	eduroam	2437	WPA-Enterprise		-85
68	4608	1411812130	0015c72a5e21	feup.conferencias	2412	Open		-76
69	4608	1411812130	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-82
70	4608	1411812130	0015c72abd81	UPorto	2462	Open		-88
71	4608	1411812133	0015c72a5e20	eduroam	2412	WPA-Enterprise		-76
72	4608	1411812133	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-84
73	4608	1411812133	0c85253285c0	eduroam	2437	WPA-Enterprise		-85
74	4608	1411812133	0015c72a5e21	feup.conferencias	2412	Open		-76
75	4608	1411812133	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-82
76	4608	1411812133	0015c72abd81	UPorto	2462	Open		-88
77	4608	1411812134	0015c72a5e20	eduroam	2412	WPA-Enterprise		-77
78	4608	1411812134	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-85
79	4608	1411812134	0c85253285c0	eduroam	2437	WPA-Enterprise		-85
80	4608	1411812134	0015c72a5e21	feup.conferencias	2412	Open		-76
81	4608	1411812134	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-82
82	4608	1411812134	0015c72abd81	UPorto	2462	Open		-88
83	4608	1411812135	0015c72a5e20	eduroam	2412	WPA-Enterprise		-81
84	4608	1411812135	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-85
85	4608	1411812135	0c85253285c0	eduroam	2437	WPA-Enterprise		-85
86	4608	1411812135	0015c72a5e21	feup.conferencias	2412	Open		-81
87	4608	1411812135	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-85
88	4608	1411812135	0015c72abd81	UPorto	2462	Open		-87
89	4608	1411812135	0c85253285c1	UPorto	2437	Open		-84
90	4608	1411812135	08cc68664451	UPorto	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-84
91	4608	1411812137	0015c72a5e20	eduroam	2412	WPA-Enterprise		-76
92	4608	1411812137	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-85
93	4608	1411812137	0c85253285c0	eduroam	2437	WPA-Enterprise		-85
94	4608	1411812137	0015c72a5e21	feup.conferencias	2412	Open		-76
95	4608	1411812137	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-84
96	4608	1411812137	0015c72abd81	UPorto	2462	Open		-90
97	4608	1411812137	0c85253285c1	UPorto	2437	Open		-84
98	4608	1411812137	08cc68664451	UPorto	2437	Open	{"frequency": 2437, "capabilities": "[ESS]"}	-84
99	4608	1411812137	0015c72abd80	eduroam	2462	WPA-Enterprise		-88
100	4608	1411812139	0015c72abd80	eduroam	2462	WPA-Enterprise		-88
101	4608	1411812139	0015c72a5e20	eduroam	2412	WPA-Enterprise		-76
102	4608	1411812139	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-84
103	4608	1411812139	0015c72a5e21	feup.conferencias	2412	Open		-76
104	4608	1411812139	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-87
105	4608	1411812139	0015c72abd81	UPorto	2462	Open		-88
106	4608	1411812139	0c85253285c1	UPorto	2437	Open		-84
107	4608	1411812139	001daac3ad18	SERVICO_CLIENTE	2437	Open		-91
108	4608	1411812142	0015c72a5e20	eduroam	2412	WPA-Enterprise		-77
109	4608	1411812142	08cc68664450	eduroam	2437	WPA-Enterprise	{"frequency": 2437, "capabilities": "[WPA2-EAP-CCMP][ESS]"}	-84
110	4608	1411812142	0015c72a5e21	feup.conferencias	2412	Open		-82
111	4608	1411812142	d4ca6db08bed	'STCP | PortoDigital'	2437	Open		-83
112	4608	1411812142	0015c72abd81	UPorto	2462	Open		-88
113	4608	1411812142	0015c72abd80	eduroam	2462	WPA-Enterprise		-88
114	4608	1411812142	001daac3ad18	SERVICO_CLIENTE	2437	Open		-91
115	4608	1411812144	0015c72a5e20	eduroam	2412	WPA-Enterprise		-76
