systime	gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1411812120.44237	1411812119.00	41.178068	-8.598400	148.1	0.051	194.8200	1.6	2.3	2.8
1411812121.44430	1411812121.00	41.178068	-8.598400	148.2	0.077	194.9300	1.6	2.3	2.8
1411812122.89853	1411812121.00	41.178068	-8.598400	148.2	0.077	194.9300	1.6	2.3	2.8
1411812123.50861	1411812123.00	41.178068	-8.598400	148.2	0.087	177.0800	1.6	2.3	2.8
1411812124.48012	1411812123.00	41.178068	-8.598400	148.3	0.087	177.0800	1.6	2.3	2.8
1411812125.43975	1411812125.00	41.178068	-8.598400	148.3	0.067	172.4300	1.6	2.4	2.8
1411812126.49627	1411812126.00	41.178067	-8.598400	148.4	0.072	180.7700	1.6	2.4	2.8
1411812127.89242	?	?	?	148.5	?	?	1.6	2.4	2.8
1411812128.52556	1411812128.00	41.178067	-8.598400	148.6	0.077	186.8500	1.6	2.4	2.8
1411812129.41044	?	?	?	148.7	?	?	1.6	2.4	2.8
1411812130.47968	1411812129.00	41.178067	-8.598402	148.7	0.082	187.9800	1.6	2.4	2.8
1411812131.49377	1411812131.00	41.178065	-8.598402	148.8	0.077	181.2800	1.6	2.4	2.8
1411812132.93929	1411812132.00	41.178065	-8.598402	148.9	0.082	180.5600	1.6	2.4	2.8
1411812133.61925	1411812133.00	41.178065	-8.598402	148.9	0.077	183.4000	1.6	2.4	2.8
1411812134.50721	1411812134.00	41.178065	-8.598402	148.9	0.082	178.4800	1.6	2.4	2.8
1411812135.47544	1411812135.00	41.178065	-8.598402	149.0	0.072	179.4800	1.6	2.4	2.8
1411812136.50476	1411812136.00	41.178065	-8.598402	149.0	0.072	178.3200	1.6	2.4	2.8
1411812137.46452	?	?	?	149.0	?	?	1.6	2.4	2.8
1411812138.49236	1411812138.00	41.178063	-8.598402	149.1	0.077	182.3100	1.6	2.4	2.8
1411812139.51299	1411812139.00	41.178063	-8.598402	149.2	0.072	175.5000	2.0	3.2	3.7
1411812140.49939	1411812140.00	41.178063	-8.598402	149.3	0.082	180.5100	2.0	3.2	3.7
1411812141.38542	?	?	?	149.4	?	?	2.0	3.2	3.7
1411812141.93706	1411812141.00	41.178063	-8.598402	?	0.077	177.8800	?	?	?
1411812142.79749	?	?	?	149.5	?	?	2.0	3.2	3.7
1411812143.49367	1411812143.00	41.178063	-8.598402	149.6	0.082	178.0500	2.0	3.2	3.7
1411812144.35645	?	?	?	149.7	?	?	2.0	3.2	3.7
1411812144.90255	1411812144.00	41.178062	-8.598402	?	0.077	179.3600	?	?	?
1411812145.45002	1411812145.00	41.178062	-8.598403	149.8	0.082	179.8500	2.0	3.2	3.7
1411812146.47144	1411812145.00	41.178062	-8.598403	149.9	0.082	179.8500	2.0	3.2	3.7
1411812148.22310	1411812147.00	41.178062	-8.598403	149.8	0.077	179.0800	1.6	2.4	2.9
1411812148.76569	1411812148.00	41.178062	-8.598402	?	0.077	176.8400	1.6	2.4	2.9
1411812149.45747	1411812149.00	41.178062	-8.598402	149.7	0.072	174.1200	1.6	2.4	2.9
1411812150.49261	1411812150.00	41.178062	-8.598402	149.6	0.072	175.7100	1.6	2.4	2.9
1411812151.48938	1411812151.00	41.178062	-8.598400	149.5	0.072	172.0500	1.6	2.4	2.9
1411812152.37147	?	?	?	149.4	?	?	1.6	2.4	2.9
1411812153.46016	1411812152.00	41.178062	-8.598400	149.3	0.067	174.3000	1.6	2.4	2.9
1411812154.48213	1411812154.00	41.178062	-8.598398	149.2	0.067	170.5900	1.6	2.4	2.9
1411812155.52909	1411812155.00	41.178062	-8.598398	149.0	0.098	183.4100	1.6	2.4	2.9
1411812156.33055	?	?	?	148.9	?	?	1.6	2.4	2.9
