n	Session	wfm.seconds.Elapsed	wfm.mac_addr.Mac	wfm.mac_addr.Essid	wfm.mac_addr.Frequency	wfm.mac_addr.Auth	wfm.mac_addr.Extra	wfm.snr
1	4606	1411812218	001daac3ad18	SERVICO_CLIENTE	2437	Open		-89
2	4606	1411812220	001daac3ad18	SERVICO_CLIENTE	2437	Open		-88
3	4606	1411812222	001daac3ad18	SERVICO_CLIENTE	2437	Open		-88
4	4606	1411812225	001daac3ad18	SERVICO_CLIENTE	2437	Open		-88
5	4606	1411812225	0015c72a5e20	eduroam	2412	WPA-Enterprise		-88
6	4606	1411812226	0015c72a5e20	eduroam	2412	WPA-Enterprise		-89
7	4606	1411812226	0015c72a5e21	feup.conferencias	2412	Open		-89
8	4606	1411812228	0015c72a5e20	eduroam	2412	WPA-Enterprise		-89
9	4606	1411812228	0015c72a5e21	feup.conferencias	2412	Open		-89
10	4606	1411812231	0015c72a5e20	eduroam	2412	WPA-Enterprise		-91
11	4606	1411812231	0015c72a5e21	feup.conferencias	2412	Open		-89
12	4606	1411812233	0015c72a5e20	eduroam	2412	WPA-Enterprise		-91
13	4606	1411812235	0015c72a5e20	eduroam	2412	WPA-Enterprise		-90
14	4606	1411812235	001daac3ad18	SERVICO_CLIENTE	2437	Open		-88
15	4606	1411812235	0015c72a5e21	feup.conferencias	2412	Open		-91
16	4606	1411812236	0015c72a5e20	eduroam	2412	WPA-Enterprise		-90
17	4606	1411812236	001daac3ad18	SERVICO_CLIENTE	2437	Open		-88
18	4606	1411812236	0015c72a5e21	feup.conferencias	2412	Open		-91
19	4606	1411812239	0015c72a5e20	eduroam	2412	WPA-Enterprise		-87
20	4606	1411812239	001daac3ad18	SERVICO_CLIENTE	2437	Open		-88
21	4606	1411812239	0015c72a5e21	feup.conferencias	2412	Open		-88
22	4606	1411812241	0015c72a5e20	eduroam	2412	WPA-Enterprise		-87
23	4606	1411812241	0015c72a5e21	feup.conferencias	2412	Open		-88
24	4606	1411812243	0015c72a5e20	eduroam	2412	WPA-Enterprise		-87
25	4606	1411812243	0015c72a5e21	feup.conferencias	2412	Open		-88
26	4606	1411812243	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
27	4606	1411812245	001daac3ad18	SERVICO_CLIENTE	2437	Open		-89
28	4606	1411812248	001daac3ad18	SERVICO_CLIENTE	2437	Open		-89
29	4606	1411812250	001daac3ad18	SERVICO_CLIENTE	2437	Open		-89
30	4606	1411812252	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
31	4606	1411812254	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
32	4606	1411812256	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
33	4606	1411812259	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
34	4606	1411812261	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
35	4606	1411812261	0015c72a5e21	feup.conferencias	2412	Open		-91
36	4606	1411812263	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
37	4606	1411812263	0015c72a5e21	feup.conferencias	2412	Open		-91
38	4606	1411812265	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
39	4606	1411812265	0015c72a5e21	feup.conferencias	2412	Open		-91
40	4606	1411812268	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
41	4606	1411812268	0015c72a5e21	feup.conferencias	2412	Open		-91
42	4606	1411812270	001daac3ad18	SERVICO_CLIENTE	2437	Open		-90
43	4606	1411812270	0015c72a5e21	feup.conferencias	2412	Open		-91
44	4606	1411812272	001daac3ad18	SERVICO_CLIENTE	2437	Open		-87
45	4606	1411812274	001daac3ad18	SERVICO_CLIENTE	2437	Open		-87
46	4606	1411812277	001daac3ad18	SERVICO_CLIENTE	2437	Open		-87
47	4606	1411812277	0015c72a5e20	eduroam	2412	WPA-Enterprise		-87
48	4606	1411812277	0015c72a5e21	feup.conferencias	2412	Open		-86
49	4606	1411812278	0015c72a5e20	eduroam	2412	WPA-Enterprise		-87
50	4606	1411812278	0015c72a5e21	feup.conferencias	2412	Open		-87
51	4606	1411812280	0015c72a5e20	eduroam	2412	WPA-Enterprise		-87
52	4606	1411812280	0015c72a5e21	feup.conferencias	2412	Open		-87
53	4606	1411812283	0015c72a5e20	eduroam	2412	WPA-Enterprise		-88
54	4606	1411812283	0015c72a5e21	feup.conferencias	2412	Open		-87
55	4606	1411812285	0015c72a5e20	eduroam	2412	WPA-Enterprise		-88
